param_index,param_name,unit,norm_value,readback,display
12,"Reflection"," %",0.031250,0.030000,"3"
12,"Reflection"," %",0.062500,0.060000,"6"
12,"Reflection"," %",0.093750,0.090000,"9"
12,"Reflection"," %",0.125000,0.120000,"12"
12,"Reflection"," %",0.156250,0.150000,"15"
12,"Reflection"," %",0.187500,0.180000,"18"
12,"Reflection"," %",0.218750,0.210000,"21"
12,"Reflection"," %",0.250000,0.250000,"25"
12,"Reflection"," %",0.281250,0.280000,"28"
12,"Reflection"," %",0.312500,0.310000,"31"
12,"Reflection"," %",0.343750,0.340000,"34"
12,"Reflection"," %",0.375000,0.370000,"37"
12,"Reflection"," %",0.406250,0.400000,"40"
12,"Reflection"," %",0.437500,0.430000,"43"
12,"Reflection"," %",0.468750,0.460000,"46"
12,"Reflection"," %",0.500000,0.500000,"50"
12,"Reflection"," %",0.531250,0.530000,"53"
12,"Reflection"," %",0.562500,0.560000,"56"
12,"Reflection"," %",0.593750,0.590000,"59"
12,"Reflection"," %",0.625000,0.620000,"62"
12,"Reflection"," %",0.656250,0.650000,"65"
12,"Reflection"," %",0.687500,0.680000,"68"
12,"Reflection"," %",0.718750,0.710000,"71"
12,"Reflection"," %",0.750000,0.750000,"75"
12,"Reflection"," %",0.781250,0.780000,"78"
12,"Reflection"," %",0.812500,0.810000,"81"
12,"Reflection"," %",0.843750,0.840000,"84"
12,"Reflection"," %",0.875000,0.870000,"87"
12,"Reflection"," %",0.906250,0.900000,"90"
12,"Reflection"," %",0.937500,0.930000,"93"
12,"Reflection"," %",0.968750,0.960000,"96"
12,"Reflection"," %",1.000000,1.000000,"100"
13,"Attract","",0.000000,0.000000,"0"
13,"Attract","",0.031250,0.030000,"3"
13,"Attract","",0.062500,0.060000,"6"
13,"Attract","",0.093750,0.090000,"9"
13,"Attract","",0.125000,0.120000,"12"
13,"Attract","",0.156250,0.150000,"15"
13,"Attract","",0.187500,0.180000,"18"
13,"Attract","",0.218750,0.210000,"21"
13,"Attract","",0.250000,0.250000,"25"
13,"Attract","",0.281250,0.280000,"28"
13,"Attract","",0.312500,0.310000,"31"
13,"Attract","",0.343750,0.340000,"34"
13,"Attract","",0.375000,0.370000,"37"
13,"Attract","",0.406250,0.400000,"40"
13,"Attract","",0.437500,0.430000,"43"
13,"Attract","",0.468750,0.460000,"46"
13,"Attract","",0.500000,0.500000,"50"
13,"Attract","",0.531250,0.530000,"53"
13,"Attract","",0.562500,0.560000,"56"
13,"Attract","",0.593750,0.590000,"59"
13,"Attract","",0.625000,0.620000,"62"
13,"Attract","",0.656250,0.650000,"65"
13,"Attract","",0.687500,0.680000,"68"
13,"Attract","",0.718750,0.710000,"71"
13,"Attract","",0.750000,0.750000,"75"
13,"Attract","",0.781250,0.780000,"78"
13,"Attract","",0.812500,0.810000,"81"
13,"Attract","",0.843750,0.840000,"84"
13,"Attract","",0.875000,0.870000,"87"
13,"Attract","",0.906250,0.900000,"90"
13,"Attract","",0.937500,0.930000,"93"
13,"Attract","",0.968750,0.960000,"96"
13,"Attract","",1.000000,1.000000,"100"
14,"Repel","",0.000000,0.000000,"0"
14,"Repel","",0.031250,0.030000,"3"
14,"Repel","",0.062500,0.060000,"6"
14,"Repel","",0.093750,0.090000,"9"
14,"Repel","",0.125000,0.120000,"12"
14,"Repel","",0.156250,0.150000,"15"
14,"Repel","",0.187500,0.180000,"18"
14,"Repel","",0.218750,0.210000,"21"
14,"Repel","",0.250000,0.250000,"25"
14,"Repel","",0.281250,0.280000,"28"
14,"Repel","",0.312500,0.310000,"31"
14,"Repel","",0.343750,0.340000,"34"
14,"Repel","",0.375000,0.370000,"37"
14,"Repel","",0.406250,0.400000,"40"
14,"Repel","",0.437500,0.430000,"43"
14,"Repel","",0.468750,0.460000,"46"
14,"Repel","",0.500000,0.500000,"50"
14,"Repel","",0.531250,0.530000,"53"
14,"Repel","",0.562500,0.560000,"56"
14,"Repel","",0.593750,0.590000,"59"
14,"Repel","",0.625000,0.620000,"62"
14,"Repel","",0.656250,0.650000,"65"
14,"Repel","",0.687500,0.680000,"68"
14,"Repel","",0.718750,0.710000,"71"
14,"Repel","",0.750000,0.750000,"75"
14,"Repel","",0.781250,0.780000,"78"
14,"Repel","",0.812500,0.810000,"81"
14,"Repel","",0.843750,0.840000,"84"
14,"Repel","",0.875000,0.870000,"87"
14,"Repel","",0.906250,0.900000,"90"
14,"Repel","",0.937500,0.930000,"93"
14,"Repel","",0.968750,0.960000,"96"
14,"Repel","",1.000000,1.000000,"100"
15,"Proximity","",0.000000,0.000000,"0"
15,"Proximity","",0.031250,0.030000,"3"
15,"Proximity","",0.062500,0.060000,"6"
15,"Proximity","",0.093750,0.090000,"9"
15,"Proximity","",0.125000,0.120000,"12"
15,"Proximity","",0.156250,0.150000,"15"
15,"Proximity","",0.187500,0.180000,"18"
15,"Proximity","",0.218750,0.210000,"21"
15,"Proximity","",0.250000,0.250000,"25"
15,"Proximity","",0.281250,0.280000,"28"
15,"Proximity","",0.312500,0.310000,"31"
15,"Proximity","",0.343750,0.340000,"34"
15,"Proximity","",0.375000,0.370000,"37"
15,"Proximity","",0.406250,0.400000,"40"
15,"Proximity","",0.437500,0.430000,"43"
15,"Proximity","",0.468750,0.460000,"46"
15,"Proximity","",0.500000,0.500000,"50"
15,"Proximity","",0.531250,0.530000,"53"
15,"Proximity","",0.562500,0.560000,"56"
15,"Proximity","",0.593750,0.590000,"59"
15,"Proximity","",0.625000,0.620000,"62"
15,"Proximity","",0.656250,0.650000,"65"
15,"Proximity","",0.687500,0.680000,"68"
15,"Proximity","",0.718750,0.710000,"71"
15,"Proximity","",0.750000,0.750000,"75"
15,"Proximity","",0.781250,0.780000,"78"
15,"Proximity","",0.812500,0.810000,"81"
15,"Proximity","",0.843750,0.840000,"84"
15,"Proximity","",0.875000,0.870000,"87"
15,"Proximity","",0.906250,0.900000,"90"
15,"Proximity","",0.937500,0.930000,"93"
15,"Proximity","",0.968750,0.960000,"96"
